+---------------------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                                        | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
| bio.ethanol                                 |     790 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.bio.ethanol                           |
| bio_diesel                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| biocrude                                    |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                                    |
| biodiesel                                   |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                  |
| biomass                                     |    1000 |         293 |      1000 |         -1 | COMMON   |     false | forestry:fluid.biomass                               |
| bismuth                                     |    1000 |         545 |      1000 |         10 | COMMON   |     false | -                                                    |
| bismuth_bronze                              |    1000 |        1036 |      1000 |         10 | COMMON   |     false | -                                                    |
| bisphenol_a                                 |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| black_bronze                                |    1000 |        1328 |      1000 |         10 | COMMON   |     false | -                                                    |
| black_steel                                 |    1000 |        1200 |      1000 |         10 | COMMON   |     false | -                                                    |
| blaze                                       |    1000 |        4000 |      1000 |         10 | COMMON   |     false | -                                                    |
| blaze_juice                                 |    1000 |         300 |       800 |          0 | COMMON   |     false | vehicle:blaze_juice                                  |
| blood                                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                                  |
| blue_alloy                                  |    1000 |        1400 |      1000 |         10 | COMMON   |     false | -                                                    |
| blue_steel                                  |    1000 |        1400 |      1000 |         10 | COMMON   |     false | -                                                    |
| blueslime                                   |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                                 |
| borax_solution                              |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_borax_solution                    |
| boric_acid                                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boric_acid                        |
| boron                                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | tconstruct:molten_boron                              |
| boron_10                                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron_10                          |
| boron_11                                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron_11                          |
| boron_nak                                   |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| boron_nak_hot                               |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| boron_nitride_solution                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boron_nitride_solution            |
| borosilicate_glass                          |    1000 |        1921 |      1000 |         10 | COMMON   |     false | -                                                    |
| brass                                       |    1000 |        1160 |      1000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                              |
| bronze                                      |    1000 |        1357 |      1000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                             |
| butadiene                                   |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| butane                                      |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| butene                                      |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| butyraldehyde                               |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| caesium_137                                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_caesium_137                       |
| calcium_sulfate_solution                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_calcium_sulfate_solution          |
| californium_249                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| californium_250                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| californium_251                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| californium_252                             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| canolaoil                                   |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_canola_oil                   |
| carbon                                      |    1000 |        4600 |      1000 |         10 | COMMON   |     false | -                                                    |
| carbon_dioxide                              |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| carbon_monoxide                             |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| carobbiite                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| carobbiite_nak                              |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| carobbiite_nak_hot                          |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| cerium                                      |    1000 |        1068 |      1000 |         10 | COMMON   |     false | -                                                    |
| charcoal_byproducts                         |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| chlorine                                    |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| chlorobenzene                               |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| chloroform                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| chloromethane                               |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| chocolate                                   |    2000 |         300 |       500 |          0 | COMMON   |     false | -                                                    |
| chocolate_liquor                            |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_chocolate_liquor                  |
| chrome                                      |    1000 |        2180 |      1000 |         10 | COMMON   |     false | -                                                    |
| clay                                        |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                               |
| cloud_seed                                  |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                       |
| cloud_seed_concentrated                     |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated          |
| coal                                        |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                    |
| coal_gas                                    |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| coal_tar                                    |    1000 |         293 |      2000 |         -1 | COMMON   |     false | -                                                    |
| cobalt                                      |    1000 |        1768 |      1000 |         10 | RARE     |     false | tconstruct:molten_cobalt                             |
| cobalt_brass                                |    1000 |        1202 |      1000 |         10 | COMMON   |     false | -                                                    |
| cocoa_butter                                |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_cocoa_butter                      |
| concrete                                    |    1000 |         286 |      1000 |         10 | COMMON   |     false | immersiveengineering:fluidconcrete                   |
| condensate_water                            |    1000 |         350 |       850 |          0 | COMMON   |     false | nuclearcraft:fluid_condensate_water                  |
| conductive_iron                             |    9000 |        1400 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_conductive_iron                  |
| constantan                                  |    1000 |         650 |      1000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan               |
| construction_alloy                          |    9000 |         563 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_construction_alloy               |
| construction_foam                           |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| copper                                      |    1000 |        1358 |      1000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                             |
| copper_nak                                  |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| copper_nak_hot                              |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| corium                                      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_corium                            |
| creeper_acid                                |     100 |         300 |      1000 |          0 | COMMON   |     false | techguns:block_creeper_acid                          |
| creosote                                    |    1000 |         293 |      2000 |         -1 | COMMON   |     false | immersiveengineering:fluidcreosote                   |
| crude_oil                                   |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                    |
| cryotheum                                   |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                    |
| cryotheum_nak                               |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| cryotheum_nak_hot                           |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| crystal_water                               |    1000 |         300 |      1000 |          0 | COMMON   |     false | thaumadditions:crystal_water                         |
| crystaloil                                  |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:block_crystal_oil                  |
| cumene                                      |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| cupronickel                                 |    1000 |        1542 |      1000 |         10 | COMMON   |     false | -                                                    |
| curium_243                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| curium_245                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| curium_246                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| curium_247                                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| cyclohexane                                 |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| damascus_steel                              |    1000 |        1500 |      1000 |         10 | COMMON   |     false | -                                                    |
| dark_chocolate                              |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_dark_chocolate                    |
| dark_steel                                  |    9000 |        1813 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_dark_steel                       |
| darmstadtium                                |    1000 |        1200 |      1000 |         10 | COMMON   |     false | -                                                    |
| dawnstone                                   |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:dawnstone                                     |
| depleted_hea_242                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hea_242_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hea_242_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heb_248                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heb_248_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heb_248_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_249                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_249_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_249_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_251                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_251_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecf_251_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_243                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_243_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_243_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_245                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_245_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_245_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_247                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_247_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hecm_247_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hen_236                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hen_236_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hen_236_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_239                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_239_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_239_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_241                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_241_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hep_241_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_233                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_233_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_233_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_235                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_235_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_heu_235_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_hydrogen_sulfide                   |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_depleted_hydrogen_sulfide         |
| depleted_lea_242                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lea_242_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lea_242_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leb_248                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leb_248_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leb_248_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_249                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_249_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_249_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_251                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_251_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecf_251_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_243                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_243_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_243_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_245                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_245_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_245_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_247                           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_247_fluoride                  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lecm_247_fluoride_flibe            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_len_236                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_len_236_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_len_236_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_239                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_239_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_239_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_241                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_241_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_lep_241_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_233                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_233_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_233_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_235                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_235_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_leu_235_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_239                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_239_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_239_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_241                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_241_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_mix_241_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_tbu                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_tbu_fluoride                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_tbu_fluoride_flibe                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| depleted_uranium_hexafluoride               |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| deuterium                                   |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| dfdps                                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_dfdps                             |
| diaminobenzidine                            |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| diamond                                     |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| diamond_nak                                 |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| diamond_nak_hot                             |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| diborane                                    |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_diborane                          |
| dichlorobenzene                             |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dichlorobenzidine                           |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| diesel                                      |    1000 |         293 |      1000 |         -1 | COMMON   |     false | immersivepetroleum:fluid_diesel                      |
| difluorobenzene                             |     800 |         300 |       800 |          0 | COMMON   |     false | nuclearcraft:fluid_difluorobenzene                   |
| diluted_hydrochloric_acid                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| diluted_sulfuric_acid                       |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dimethylamine                               |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| dimethylbenzene                             |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dimethyldichlorosilane                      |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| dimethyldifluorosilane                      |     800 |         300 |       800 |          0 | COMMON   |     false | nuclearcraft:fluid_dimethyldifluorosilane            |
| dimethylhydrazine                           |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dinitrogen_tetroxide                        |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| diphenyl_isophthalate                       |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dirt                                        |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                               |
| dissolved_calcium_acetate                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| distilled_water                             |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| drilling_fluid                              |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| duranium                                    |    1000 |        7500 |      1000 |         10 | COMMON   |     false | -                                                    |
| dye_black                                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_blue                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_brown                                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_cyan                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_gray                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_green                                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_light_blue                              |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_light_gray                              |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_lime                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_magenta                                 |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_orange                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_pink                                    |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_purple                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_red                                     |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_white                                   |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| dye_yellow                                  |    1000 |         293 |      1000 |         -1 | COMMON   |     false | -                                                    |
| electrical_steel                            |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_electrical_steel                 |
| electrum                                    |    1000 |        1285 |      1000 |         10 | EPIC     |     false | tconstruct:molten_electrum                           |
| emerald                                     |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| emerald_nak                                 |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| emerald_nak_hot                             |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| emergency_coolant                           |    2000 |         250 |      2000 |          0 | COMMON   |     false | nuclearcraft:fluid_emergency_coolant                 |
| emergency_coolant_heated                    |    2000 |         400 |      1500 |          7 | COMMON   |     false | nuclearcraft:fluid_emergency_coolant_heated          |
| empoweredoil                                |    1000 |         300 |      1000 |          0 | EPIC     |     false | actuallyadditions:block_empowered_oil                |
| end_steel                                   |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_end_steel                        |
| end_stone                                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                                    |
| end_stone_nak                               |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
| end_stone_nak_hot                           |    4000 |         800 |     10000 |          7 | COMMON   |     false | -                                                    |
| ender                                       |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender                        |
| ender_air                                   |    -100 |         293 |       200 |         -1 | COMMON   |      true | -                                                    |
| ender_distillation                          |     200 |         175 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_ender_distillation               |
| ender_sap                                   |    1000 |         300 |      3000 |          0 | COMMON   |     false | vehicle:ender_sap                                    |
| enderium                                    |    1000 |        1600 |      1000 |          0 | RARE     |     false | -                                                    |
| enderium_nak                                |    5000 |         400 |     15000 |          0 | COMMON   |     false | -                                                    |
